,place_id,place_name,lat,lng,place_address,category
13859,14692,창5동성당,37.6537899,127.0440648,서울특별시 도봉구 노해로63가길 15-15,종교집회장
13861,14693,창광교회,37.5570491,126.94039450000001,서울특별시 서대문구 연세로2길 69,종교집회장
13866,14694,창동감리교회,37.6375973,127.0364767,서울특별시 도봉구 덕릉로  213,종교집회장
13869,14695,창동교회,37.658114399999995,127.0371817,서울특별시 도봉구 도봉로133길  50,종교집회장
13871,14696,창동성당,37.6479521,127.0351815,서울특별시 도봉구 도봉로110나길  45,종교집회장
13874,14697,창동운동장,37.6580111,127.0506166,서울특별시 도봉구 노해로69길 132,공원
13877,14698,창동자동차운전전문학원,37.6597352,127.04467109999999,서울특별시 도봉구 도봉로136길 61,교육원·직업훈련소·학원
13881,14699,창동제일교회,37.65478020000001,127.0410497,서울특별시 도봉구 해등로   126,종교집회장
13884,14700,창성교회,37.638971999999995,127.04052220000001,서울특별시 도봉구 덕릉로60길 43-18,종교집회장
13887,14701,창일교회,37.5127415,126.8510983,서울특별시 양천구 신정로 273-3,종교집회장
13889,14702,창천교회백주년기념관,37.5591581,126.93767659999999,서울특별시 서대문구 연세로  38,종교집회장
13892,14704,천리교구로교회,37.4710552,126.89528689999999,서울특별시 금천구 두산로13길  20,종교집회장
13895,14705,천성교회,37.5541781,127.0334355,서울특별시 성동구 독서당로  435,종교집회장
13898,14706,천주교 대림3동성당,37.497794899999995,126.90029129999999,서울특별시 영등포구 도림로53길 28,종교집회장
13901,14707,천주교 청구성당,37.5575273,127.01634840000001,서울특별시 중구 다산로24길 73,종교집회장
13903,14708,천주교 혜화동성당,37.5862076,127.0027429,서울특별시 종로구 창경궁로 288,종교집회장
13905,14709,천주교가양성당,37.568813399999996,126.8497361,서울특별시 강서구 허준로  69,종교집회장
13907,14710,천주교거여동성당,37.49109779999999,127.14362659999998,서울특별시 송파구 양산로,종교집회장
13910,14711,천주교길음동성당,37.6039095,127.0202666,서울특별시 성북구 길음로9길 74,종교집회장
13912,14712,천주교등촌1동교회,37.555712299999996,126.8617108,서울특별시 강서구 공항대로55길 61,종교집회장
13914,14713,천주교마장동성당,37.5664729,127.04264409999999,서울특별시 성동구 마장로39가길  24,종교집회장
13917,14714,천주교성내동성당,37.5300432,127.12971850000001,서울특별시 강동구 성내로15길 58,종교집회장
13920,14715,천주교성당,37.4714853,126.8898635,서울특별시 금천구 두산로5길  19,종교집회장
