,lat,lon,place_name,total_facility_available_name,large_range_category
18127,37.54651303783713,127.08644506456685,광진타워빌딩,객실 및 침실,종합병원
23549,37.547895182680065,126.81950678330452,메이필드호텔,객실 및 침실,일반숙박시설
34357,37.55329404008532,126.85051591880837,이지호텔,객실 및 침실,일반숙박시설
25573,37.49691982086978,127.15258324978217,사랑나눔주간보호,객실 및 침실,복지시설
29069,37.53421027177274,126.95459415112178,성심여자고등학교,객실 및 침실,학교
40086,37.538261999999996,127.12283799999999,송파우체국 화장실,객실 및 침실,화장실
24004,37.596519595627726,127.08948324025404,미라지,객실 및 침실,일반숙박시설
23178,37.5559950297108,126.94304622446259,마포복지종합지원센터,객실 및 침실,복지시설
30826,37.5560716151265,126.93769528588106,신촌모텔(D모텔),객실 및 침실,일반숙박시설
40101,37.512456,127.10506399999998,송파나루(더다이닝) 화장실 화장실,객실 및 침실,화장실
19892,37.60917557132228,126.93019885529215,노블레스모텔,객실 및 침실,일반숙박시설
20317,37.574541425246814,126.81613246163393,뇌성마비복지관,객실 및 침실,복지시설
40110,37.511477,127.08148,대한소방공제회빌딩 화장실,객실 및 침실,화장실
29169,37.48180191564522,126.89056486396768,성프란치스꼬장애인종합복지관,객실 및 침실,복지시설
34335,37.55643657115681,126.93952841440263,이젠호텔,객실 및 침실,일반숙박시설
25640,37.4926011109021,126.96260721393257,사랑손주간보호센터,객실 및 침실,복지시설
34423,37.5611486017934,126.9427751922987,이화여자대학교사범대학 부속초등학교,객실 및 침실,학교
34436,37.56444557044906,126.97030426691003,이화학원,객실 및 침실,학교
34673,37.65904586564025,127.05069043467054,자운고등학교,객실 및 침실,학교
42992,37.4793528,126.88521670000002,농협관악지점 화장실,객실 및 침실,화장실
34645,37.53289759581719,127.07523308742977,자양 3세대 종합복지센터,객실 및 침실,복지시설
18114,37.53651137862957,127.09648076709179,광진종합문화센터,객실 및 침실,영화관/공연장
15565,37.48679662027596,127.01295778934912,IMT호텔,객실 및 침실,일반숙박시설
34603,37.574962075235355,127.0032557149793,임스하우스,객실 및 침실,일반숙박시설
15563,37.501033796350825,127.03964976707266,IMI호텔,객실 및 침실,일반숙박시설
39955,37.497156,127.14693700000001,숯내공원 화장실 화장실,객실 및 침실,화장실
34564,37.52952102228533,126.84687520309143,일솔레MT(무림파크),객실 및 침실,일반숙박시설
16529,37.58490178849815,127.004768739433,가톨릭대학교 성신교정,객실 및 침실,학교
24224,37.54578286645106,127.12507660030292,바고관광호텔,객실 및 침실,일반숙박시설
19875,37.561712605595865,127.06749771162872,노블레스,객실 및 침실,일반숙박시설
39987,37.502416,127.12611499999998,올림픽공원-구립SOMA미술관 화장실,객실 및 침실,화장실
27551,37.64244347787962,127.05658008579952,서울시립 뇌성마비종합복지관,객실 및 침실,복지시설
34486,37.6438657673206,127.0099211930666,인수중학교,객실 및 침실,학교
40002,37.515394,127.10744199999999,올림픽공원-만남의광장(A2동) 화장실,객실 및 침실,화장실
25544,37.482847476262585,126.97149888669121,사당종합사회복지관,객실 및 침실,복지시설
18867,37.49913350853486,126.82956240498748,궁동종합사회복지관,객실 및 침실,복지시설
40017,37.493833,127.12048200000001,올림픽공원-프라자A동 화장실,객실 및 침실,화장실
29040,37.54542892060686,127.04694707758443,성수문화복지회관,객실 및 침실,복지시설
39984,37.493312,127.12503600000001,올림픽공원-공급실 뒤(옥외화장실) 화장실,객실 및 침실,화장실
25818,37.6161473444376,127.01457044732136,삼각산중학교,객실 및 침실,학교
40124,37.512144,127.08300700000001,한국조세연구원빌딩 화장실,객실 및 침실,화장실
15482,37.53024664616337,127.12102303957626,GMF빌딩,객실 및 침실,종합병원
18152,37.54796965087783,126.85235072276943,교남소망의집,객실 및 침실,복지시설
25732,37.53384107271477,126.95062992513256,사회복지법인 한벗재단,객실 및 침실,복지시설
40249,37.504129999999996,127.107677,한국체육대학교 화장실,객실 및 침실,화장실
16605,37.56791739474362,126.9618904430341,감리교신학대학교,객실 및 침실,학교
29304,37.65451978864657,127.0575502313858,세인트모텔,객실 및 침실,일반숙박시설
40265,37.516312,127.10041299999999,아시아선수촌A동상가 화장실,객실 및 침실,화장실
33914,37.52565466934934,127.03373034442323,윤당빌딩,객실 및 침실,영화관/공연장
25758,37.54113965868448,127.14508310682376,사회복지시설,객실 및 침실,복지시설
40272,37.489398,127.122831,잠실3동성당 화장실,객실 및 침실,화장실
40235,37.497659999999996,127.125723,한국육영학교(특수) 화장실,객실 및 침실,화장실
29332,37.56144296564929,126.98794833515,세종호텔,객실 및 침실,일반숙박시설
17610,37.58870342243334,127.03169810479416,고려대라이시움,객실 및 침실,학교
33872,37.595669190820864,127.09395270849377,유토피아,객실 및 침실,일반숙박시설
40288,37.511469,127.08168899999998,풍납백제문화공원 화장실,객실 및 침실,화장실
23950,37.51597425070758,127.1105256625243,문모텔,객실 및 침실,일반숙박시설
16626,37.477704626550576,126.91785350660135,갑을복지재단 재활센터,객실 및 침실,복지시설
33867,37.59257350035878,127.01708860457896,유타몰,객실 및 침실,영화관/공연장
40298,37.481813,127.13246299999999,송파관광정보센터 화장실,객실 및 침실,화장실
25802,37.52963018958326,126.84768502105764,산후조리원웰빙센타,객실 및 침실,종합병원
40305,37.52467100000001,127.12196399999999,올림픽공원-테니스장 화장실,객실 및 침실,화장실
33902,37.53527090261717,127.08318714986248,윤강,객실 및 침실,종합병원
34246,37.486893885852716,127.01334676647123,이사벨모텔,객실 및 침실,일반숙박시설
15430,37.57312329979733,126.98633448373072,FIRASER SUITES,객실 및 침실,일반숙박시설
